id,texto,categoria
1145,Mi identidad profesional se formó en contraste con las expectativas de mi papá,trabajo
1146,me dan ataques de ansiedad constantes,personal
1147,me da ansiedad pensar en mi futuro,personal
1148,creo que no voy a tener un futuro brillante,personal
1149,No le hablo a mi papá,familiar
1150,siento que mi padre rompio nuestra relacion,familiar
1151,No le hablo a mi mamá,familiar
1152,siento que mi padre rompio nuestra relacion,familiar
1153,no hablo de emociones con mi papa,familiar
1154,Mi papá era un señor a la antigua,familiar
1155,soy la decepccion de mi padre,familiar
1156,mi papá y yo no hablamos mucho,familiar
1157,a mi papá le daba vergüenza que cantara,familiar
1158,el hambiente de mi casa no es muy agradable,familiar
1159,prefiero estar en otro lado que en mi casa,familiar
1160,prefiero estar solo que con mi familia,familiar
1161,Mi papá me trata como si fuera adoptado,familiar
1162,Siempre sentí que mi papá era muy distinto al de mi hermana,familiar
1163,llegue a desear tener otro papá,familiar
1164,llegue a desear tener otra mamá,familiar
1165,Siempre sentí que mi mamá era muy distinto al de mi hermano,familiar
1166,Comparé constantemente el trato que mi papá tenía con mi hermana y conmigo,familiar
1167,Nunca conectamos mi papá y yo,familiar
1168,en mi casa no era comun expresar afecto,familiar
1169,en mi casa no era comun expresar sentimientos,familiar
1170,Mi papá me generaba miedo,familiar
1171,Mi papá tenía una figura autoritaria que me generaba miedo.,familiar
1172,Crecí en un ambiente familiar donde no era común expresar afecto.,familiar
1173,no me siento comprendido en mi familia,familiar
1174,Sentí que mi papá tenía expectativas sobre mí que nunca cumplí.,familiar
1175,Mi papá me puso expectativas realmente imposibles,familiar
1176,Tengo muchos años de convivencia diaria con mi esposa,amorosa
1177,Ya no me asustan tanto las discuciones en el matrimonio,amorosa
1178,discutí con mi novia,amorosa
1179,discutí con mi novio,amorosa
1180,me duermo enojado con mi pareja constantemente,amorosa
1181,mi pareja percibe mis estados de ánimo antes de que yo los exprese,amorosa
1182,Intento comunicarme constantemente con mi pareja,amorosa
1183,el matrimonio implica conflictos silenciosos y acuerdos implícitos,amorosa
1184,Me cuesta apoyarme emocionalmente en mis amistades,personal
1185,No me sentí comprendido cuando hablé con mis amigos,personal
1186,mis amigos minimizaron mis problemas,personal
1187,Me sentí solo al enfrentar la ansiedad y la depresión,personal
1188,siento que no hay nadie que me pueda apoyar emocionalmente,personal
1189,He cambiado mi círculo social con el paso del tiempo,personal
1190,he cambiado de amistades muchas veces,personal
1191,No entiendo a mis hijos,familiar
1192,Mi trabajo ha definido con quién convivo,trabajo
1193,Perdí contacto con amistades porque mis horarios laborales no coincidían.,trabajo
1194,Ya no me junto con mis amigos por mis horarios del trabajo,trabajo
1195,Trabajo principalmente los fines de semana.,trabajo
1196,Mi profesión influyó en la reducción de mi círculo social,trabajo
1197,Utilizo mis experiencias personales como material para mi trabajo,trabajo
1198,Mi actividad profesional se mezcla con mis relaciones sociales,trabajo
1199,me separe dde mis amistades por los horarios laborales diferentes,trabajo
1200,me da envidia la gente joven,personal
1201,Tengo una relación cercana con mi esposa,amorosa
1202,En mi familia usamos el humor para sobrellevar momentos incómodos,familiar
1203,Mis hijos se ríen conmigo cuando hago bromas,familiar
1204,Me esfuerzo por seguir siendo una figura divertida,familiar
1205,me esfuerzo por ser una figura presente en la vida de mis hijos,familiar
1206,Mi familia se burla de mí cuando me pasa algo,familiar
1207,Mi esposa me apoya cuando tengo problemas físicos,familiar
1208,Mi esposa me apoya cuando tengo problemas emocionales,familiar
1209,En casa nos cuidamos mutuamente cuando alguno se lastima,familiar
1210,Mi esposo me apoya cuando tengo problemas físicos,familiar
1211,Mi esposo me apoya cuando tengo problemas emocionales,familiar
1212,Comparto momentos íntimos y de confianza con mi familia cercana.,familiar
1213,confio mucho en mi familia,familiar
1214,convivo diariamente con mi esposa,amorosa
1215,convivo diariamente con mi esposo,amorosa
1216,Mi esposa intenta disimular situaciones incómodas frente a otras parejas.,amorosa
1217,Mi relación de pareja enfrenta momentos incómodos en contextos sociales,amorosa
1218,A veces me siento incómodo cuando otras parejas hablan de su intimidad frente a nosotros,amorosa
1219,me incomoda saber la intimidad de otras parejas,personal
1220,Mi esposa y yo usamos el humor para manejar tensiones en nuestra relación.,amorosa
1221,Comparo muchas veces mi relacion con otras,amorosa
1222,Mi vida amorosa convive con el cansancio,amorosa
1223,mi pareja y yo hablamos constantemente,amorosa
1224,Me incomodan los comentarios sexuales,personal
1225,no tengo control sobre mi imaginacion,personal
1226,ciertas conversaciones me generan incomodidad,personal
1227,Uso el humor para manejar situaciones incómodas,personal
1228,Me burlo de mí mismo,personal
1229,se que tengos muchos defector en como soy,personal
1230,no tengo defectos en mi forma de ser,personal
1231,algunas personas se queden dormidas durante mis shows.,trabajo
1232,No me tomo personal las reacciones del público durante mi trabajo,trabajo
1233,me tomo personal como reacciona el cliente ante mi trabajo,trabajo
1234,llego tarde al trabajo generalmente,trabajo
1235,llego tarde a todos lados,trabajo
1236,no me gustar ver coquetear a otras parejas,personal
1237,me divierto mucho con mis hijos,familiar
1238,En mi infancia le tenía mucho miedo a la reacción de mi padre cuando me metía en problemas,familiar
1239,siempre me dio miedo las reacciones de mi padre,familiar
1240,no lo queria ocacionar ningun problema a mis padres,familiar
1241,mi papá es muy explosivo cuando se enoja,familiar
1242,La relacion con mi padre esta basada en el temor al castigo,familiar
1243,Mi relación con mi padre estaba marcada por la autoridad,familiar
1244,Mi madre intentaba protegerme,familiar
1245,mi madre intentaba ayudarme a resolver los conflictos familiares,familiar
1246,En mi familia recurríamos a mentiras para evitar problemas,familiar
1247,en mi familia son muy mentirosos,familiar
1248,Consideré seriamente irme de mi casa,familiar
1249,Mi madre estuvo dispuesta a apoyarme incluso cuando implicaba ocultar la verdad.,familiar
1250,pense que decepcionar a mi padre tendria consecuencias,familiar
1251,no me gustaba la idea de decepcionar a mi padre,familiar
1252,Mi familia influyó mucho en cómo aprendí a enfrentar el miedo,familiar
1253,Me sentí solo y vulnerable al enfrentar problemas escolares dentro de mi familia.,familiar
1254,ocupaba leer como estaba mi padre para saber si le contaba algo,familiar
1255,mi padre no me ponia atencion,familiar
1256,mi madre no me ponia atencion,familiar
1257,Me cuesta controlar la risa,personal
1258,Tengo una mente muy activa que genera pensamientos involuntarios,personal
1259,He enfrentado ansiedad intensa en situaciones de autoridad,personal
1260,Aprendí a improvisar mentiras rápidamente,personal
1261,Me acostumbre a mentir para protegerme,personal
1262,desarrolle estrategias para salir de problemas rapido,personal
1263,Me siento dividido entre decir la verdad y sobrevivir a las consecuencias.,personal
1264,Me siento dividido entre decir la verdad o mentir,personal
1265,Experimento culpa incluso cuando logro evitar un castigo.,personal
1266,me siento culpable cuando miento,personal
1267,pienso que ser agresivo me hara mas atractivo,personal
1268,Aprendí a callar pensamientos para evitar empeorar los conflictos.,personal
1269,aprendi a no sentir emociones para sobrevivir,personal
1270,No expreso nada hasta que explota,personal
1271,siento que no tengo amigos verdaderos,personal
1272,no me siento parte del grupo de la escuela,trabajo
1273,me he planteado irme de la casa,familiar
1274,mi papá valora mucho el concepto de ser masculino,familiar
1275,Crecí con la idea de que el castigo físico por parte de mis padres era algo normal,familiar
1276,Mi madre era una figura de autoridad que imponía castigos,familiar
1277,en mi familia odian las mentiras,familiar
1278,Desde niño percibí que mi padre era más duro y agresivo que mi madre.,familiar
1279,mi padre es muy agresivo,familiar
1280,Normalicé la violencia como parte de la dinámica familiar,familiar
1281,por ser hombre me enseñaron a no llorar,familiar
1282,Mi percepción de protección familiar estaba ligada a quién podía hacerme menos daño,familiar
1283,de niño no desarrollé vínculos amorosos,amorosa
1284,la manera que vi relacionarse a mis padres es como entendi el amor,amorosa
1285,siempre crei que el amor no se expresa de manera suave,amorosa
1286,generalmente hago preguntas incomodas sin querer,personal
1287,Tengo dificultad para quedarme con dudas,personal
1288,ofendo a mucha gente por accidente,personal
1289,La infancia me expuso temprano a realidades duras como la pobreza,personal
1290,vivi en pobresa desde niño,familiar
1291,me da miedo escuchar una respuesta que se me va a lastimar,personal
1292,me siento solo aun cuando estoy con mi pareja,amorosa
1293,mi pareja no me apoya,amorosa
1294,siento que mi pareja no me quiere,amorosa
1295,aunque expreso como me siento mi pareja me ignora,amorosa
1296,mi pareja aveces minimiza como me siento,amorosa
1297,me enseñaron desde muy joven que no debo de sentir miedo,familiar
1298,Por experiencias pasadas no le hablo a mi padre sobre mis sentimientos,familiar
1299,me enseñaron que mostrar miedo es signo de debilidad,familiar
1300,todos se burlan de mi cuando muestro debilidad,personal
1301,mi padre me educo a gritos,familiar
1302,siento que nunca estuve a la altura de lo que mi padre esperaba,familiar
1303,mi madre me educo a gritos,familiar
1304,siento que nunca estuve a la altura de lo que mi madre esperaba,familiar
1305,Mis padres se separaron,familiar
1306,Despues de la separacion me senti mas solo,familiar
1307,tengo una relación distante con mi padre.,familiar
1308,Mi padre cayo enfermo de una enfermedad grave,familiar
1309,Mi madre cayo enfermo de una enfermedad grave,familiar
1310,Me logre relonciliar con mi padre,familiar
1311,Me logre relonciliar con mi madre,familiar
1312,La muerte de mi padre me hizo sentir que lo perdía otra vez,familiar
1313,Mi padre fallecio,familiar
1314,Mi madre fallecio,familiar
1315,Mi abuela fallecio,familiar
1316,Mi abuelo fallecio,familiar
1317,No se lidiar con la muerte de un familiar,familiar
1318,Hoy entiendo que mi padre hizo lo mejor que pudo con las herramientas que tenía.,familiar
1319,Me considero un mejor padre de lo que mi padre fue conmigo,familiar
1320,Deseo que mis hijos vivan una vida mejor que la que yo tuve.,familiar
1321,Aprendí que no vale la pena guardar rencores familiares.,familiar
1322,Me afecta profundamente la pérdida de personas importantes en mi vida,personal
1323,Me esfuerzo por no repetir los patrones de violencia,personal
1324,No se si estoy viviendo como realment quiero,personal
1325,Me cuesta aceptar quien soy,personal
1326,Me cuesta expresar mis emociones abiertamente.,personal
1327,Mi relación con mi esposa ha sido un pilar fundamental en momentos difíciles,amorosa
1328,Mi esposa me ayudo en momentos muy dificiles,amorosa
1329,Mi relación con mi esposo ha sido un pilar fundamental en momentos difíciles,amorosa
1330,Mi esposo me ayudo en momentos muy dificiles,amorosa
1331,Encontré en la familia de mi esposa un apoyo que no siempre tuve en la mía,amorosa
1332,la familia de mi pareja me a apoyado mas que la mia,amorosa
1333,Mi suegro fue una figura paterna muy importante,amorosa
1334,La muerte de mi suegro me afectó emocionalmente como si fuera mi propio padre,amorosa
1335,Ya puedo construir vinculos afectivos que me puedan apoyar,amorosa
1336,Mi esposa me confronta cuando detecta errores que necesito trabajar.,amorosa
1337,Mi esposa me resalta errores que necesito modificar,amorosa
1338,Ya puedo escuchar mejor lo que me dice mi pareja,amorosa
1339,Mi esposo me confronta cuando detecta errores que necesito trabajar.,amorosa
1340,Mi esposo me resalta errores que necesito modificar,amorosa
1341,El dolor compartido fortaleció mi relación amorosa,amorosa
1342,Mi pareja y yo compartimos el dolor,amorosa
1343,Mi matrimonio me da mucha estabilidad emocional,amorosa
1344,trabaje desde joven para pagar mi escuela,trabajo
1345,senti frustacion por no trabajar en lo que queria,trabajo
1346,He sentido frustración por no dedicarme originalmente a lo que soñaba,trabajo
1347,Elegí mi carrera artística más por necesidad,trabajo
1348,No me siento comodo con mi identidad profesional,trabajo
1349,Un comentario despectivo sobre mi trabajo me afectó profundamente.,trabajo
1350,He continuado trabajando incluso en medio del duelo personal.,trabajo
1351,Aunque no este en mis mejores momentos sigo trabajando,trabajo
1352,Aceptar mi profesión me permitió reconciliarme conmigo mismo,trabajo
1353,Ya no me afectan tanto los comentarios del trabajo,trabajo
1354,El cariño que me daban mis padres dependia de mi desempeño,familiar
1355,Me dolió darme cuenta de que esperé demasiado para reconciliarme con mi padre.,familiar
1356,Nose porque no intentaba reconciliarme con mi padre,familiar
1357,No quiero intentar reconciliarme con mi padre,familiar
1358,La muerte de mi padre me dejó asuntos emocionales inconclusos,familiar
1359,Entendi que mis padres tambien arrastraban algunos traumas,familiar
1360,Nose porque mis padre me tuvieron si no me quieren,familiar
1361,Sentí culpa por no haber sido un mejor hijo,familiar
1362,Sentí culpa por no haber sido una mejor hija,familiar
1363,el amor parental no siempre sabe expresarse correctamente.,familiar
1364,busco una relación más abierta y afectiva con mis hijos,familiar
1365,mi pareja me confronta con aspectos que necesito mejorar,amorosa
1366,No supe valorar el apoyo que me daba mi esposa,amorosa
1367,No supe valorar el apoyo que me daba mi esposo,amorosa
1368,Mi matrimonio se fortaleció en medio del dolor,amorosa
1369,Mi esposa me ayudó a reflexionar sobre mis relaciones familiares,amorosa
1370,Entendí que el amor también implica señalar verdades incómodas,amorosa
1371,valoro la estabilidad emocional que me da mi vida en pareja.,amorosa
1372,Mi trabajo se convirtió en una extensión de mis conflictos personales,trabajo
1373,Durante años sentí rechazo hacia mi propia profesión.,trabajo
1374,siento rechazo hacia mi propia profesion,trabajo
1375,Me costó aceptar mi identidad profesional,trabajo
1376,senti que mi trabajo no era valorado,trabajo
1377,rechazo mi trabajo,trabajo
1378,la disciplina en mi trabajo me hizo seguir en el,trabajo
1379,solo escucho reseñas negativas de donde quiero ir a trabajar,trabajo
1380,me catalogan en una etiqueta que no me gusta por lo que estudie,trabajo
1381,ocupo demostrar que soy suficiente en mi trabajo,trabajo
1382,cuántos amigos no perdí contacto por huevón de no levantar el teléfono,personal
1383,me llevo muy mal con mi suegro,familiar
1384,me llevo muy mal con mi suegra,familiar
1385,"mi papá, con los años cambió un mucho",familiar
1386,Mi papá me desconocio,familiar
1387,Mi mamá me desconocio,familiar
1388,me esfuerzo en ser como mi papá,familiar
1389,me esfuerzo en ser como mi papá,familiar
1390,No sabes el horror que es ser tu hijo,familiar
1391,No sabes el horror que es ser tu hija,familiar
1392,yo no estoy a la altura de ser tu hijo,familiar
1393,no me siento a la altura de mi padre,familiar
1394,yo no estoy a la altura de ser tu hija,familiar
1395,no me siento a la altura de mi madre,familiar
1396,Mi mamá no me quiere,familiar
1397,Mi papá no me quiere,familiar
1398,esque esa es la unica manera que me enseño mi familia,familiar
1399,He permanecido en relaciones que ya estaban rotas por miedo a soltar,amorosa
1400,me da miedo soltar mis relaciones,amorosa
1401,Defendí relaciones amorosas aun cuando ya me lastimaban,amorosa
1402,Mi novia es el que tiene toda la culpa de la ruptura,amorosa
1403,Mi novio es el que tiene toda la culpa de la ruptura,amorosa
1404,Justifiqué infidelidades por apego emocional.,amorosa
1405,prefieron que me engañen a que estar sola,amorosa
1406,"Esque aun quiero a mi novio, aunque me engaño",amorosa
1407,Me dejaron plantada en momentos importantes,amorosa
1408,Normalicé la infidelidad como algo que podía perdonarse,amorosa
1409,Normalicé la infidelidad como algo que podía perdonarse,amorosa
1410,Mi novio no me tenia respeto,amorosa
1411,Mi novia no me tenia respeto,amorosa
1412,Idealicé parejas que no me trataban con honestidad,amorosa
1413,Me involucré con personas emocionalmente irresponsables.,amorosa
1414,He vivido relaciones que afectaron mis amistades,amorosa
1415,Mi novio me pedia que dejara de hablarle a mis amigos,amorosa
1416,bloque a varios amigos por preferir a mi novio,amorosa
1417,le deje de hablar a relaciones cercanas por mi novio,amorosa
1418,Perdí vínculos importantes por sostener una relación tóxica,amorosa
1419,Me costó reconocer cuándo una relación ya no tenía futuro,amorosa
1420,Creo que amar es aguantar todo,amorosa
1421,Me dicen que tengo un mal radar para agarrar parejas,amorosa
1422,Comencé proyectos creativos sin formación formal previa,trabajo
1423,Di cursos sin sentirme completamente preparada,trabajo
1424,Sentí el peso de la responsabilidad al influir en públicos más jóvenes,trabajo
1425,aprendo de mis errores y mejoro mis futuros trabajos,trabajo
1426,He normalizado que me mientan dentro de una relación.,amorosa
1427,en mis relaciones mienten mucho,amorosa
1428,Me he quedado en relaciones donde la infidelidad es constante,amorosa
1429,Justifiqué comportamientos tóxicos por miedo a perder a la persona,amorosa
1430,soporte comportamientos toxicos porque se que la podia cambiar,amorosa
1431,Justifiqué comportamientos tóxicos por miedo a perder a la persona,amorosa
1432,soporte que mi pareja me humillara para que ella quedara bien,amorosa
1433,soporte que mi pareja me humillara para que el quedara bien,amorosa
1434,minimize mis propios límites con tal de mantener una relación,amorosa
1435,Me acostumbré a perdonar traiciones,amorosa
1436,No le veo problema a las infidelidades,amorosa
1437,creo que el amar es aguantar todo lo que haga mi pareja,amorosa
1438,Creí que podía arreglar relaciones que ya estaban rotas,amorosa
1439,Me culpé a mí misma por las infidelidades que me hiciero,amorosa
1440,Permití que una relación afectara mis amistades,amorosa
1441,tengo una relacion que es puro drama,amorosa
1442,intente sostener mi relacion aun cuando solo yo era el que aun queria mantenerla,amorosa
1443,Defendí lo indefendible por apego emocional.,amorosa
1444,estoy muy triste porque rompi con mi novio,amorosa
1445,estoy muy triste porque rompi con mi novia,amorosa
1446,No se que sera de mi sin mi pareja,amorosa
1447,He explorado múltiples oficios buscando estabilidad financiera.,trabajo
1448,He aceptado trabajos por necesidad más que por vocación.,trabajo
1449,tiendo a romantizar a mis parejas,amorosa
1450,Empecé a trabajar por necesidad económica desde joven,trabajo
1451,Doy cursos de maquillaje,trabajo
1452,Mi trayectoria laboral ha sido resultado de ensayo,trabajo
1453,me equivoco mucho en el trabajo,trabajo
1454,nose porque me dedico a esto,trabajo
1455,me da miedo equivocarme en el trabajo,trabajo
1456,soy una facilota,amorosa
1457,Quiero destacar y ser reconocido en mi trabajo,trabajo
1458,quisiera ser mas visible en mi trabajo,trabajo
1459,quiero que todos en mi trabajo dependan de mi,trabajo
1460,He pasado gran parte de mi vida trabajando en oficinas,trabajo
1461,me siento saturado por la rutina laboral,trabajo
1462,me siento saturada por la rutina laboral,trabajo
1463,no logro balancear el trabajo y la vida persona,trabajo
1464,me molestra trabajar en equipo,trabajo
1465,La cultura godín me genera frustración,trabajo
1466,no me adapto a las reglas de una oficina,trabajo
1467,recursos humanos no me ayuda en mi trabajo,trabajo
1468,sacrifico oportunidades personales por trabajar,trabajo
1469,He trabajado sin paga por aprender,trabajo
1470,He rechazado oportunidades importantes por no soltar mi estabilidad laboral.,trabajo
1471,disfruto tener responsabilidades en un trabajo,trabajo
1472,me siento desgastado emocional por cargar problemas laborales ajenos,trabajo
1473,me siento desgastada emocional por cargar problemas laborales ajenos,trabajo
1474,tengo un amorio en mi oficina,amorosa
1475,salgo con una compañera del trabajo,amorosa
1476,me altero mucho con los conflictos de la empresa,trabajo
1477,Mi jefe abusa de su puesto y siento impotencia,trabajo
1478,no puedo hacer nada porque nadie me hace caso en mi trabajo,trabajo
1479,He tomado acciones formales para proteger la integridad del entorno laboral,trabajo
1480,acuse a mi compañero con su superior,trabajo
1481,intento mantener limites en mi trabajo,trabajo
1482,se me han insinuado muchas personas,amorosa
1483,uso el dinero como forma de seduccion,amorosa
1484,no me gusta la falsa cordialidad del trabajo,trabajo
1485,He cuestionado reglas laborales que no tienen coherencia ni ética,trabajo
1486,mi empresa no tiene etica y eso me frusta,trabajo
1487,No me pagan mi aguinaldo,trabajo
1488,He tenido conflictos por negarme a violar la confidencialidad,trabajo
1489,He enfrentado abuso de poder por parte de superiores,trabajo
1490,mis superiores abusan de su poder,trabajo
1491,me sorprendio escuchar que mi vida pertenece a la empresa,trabajo
1492,He vivido órdenes laborales impuestas sin consideración personal.,trabajo
1493,Me sentí minimizada en la empresa,trabajo
1494,Me desespera el culto a los títulos y cargos,trabajo
1495,no me gustan los convivir con mis compañeros de la empresa,trabajo
1496,no me respetan por no tener un grado academico alto,trabajo
1497,me gusta capacitar a gente nueva en la empresa,trabajo
1498,me frustra tanta burocracia en la empresa,trabajo
1499,los eventos de la empresa no me gustan,trabajo
1500,siento que mis compañeros de la empresa son muy falso y eso no me gusta,trabajo
1501,me desmotiva mi vida laboral,trabajo
1502,me desgata mucho ir a mi trabajo,trabajo
1503,no disfruto mi trabajo,trabajo
1504,el trabajo consume mi vida personal,trabajo
1505,Me molestó profundamente que minimizaran mi trabajo,trabajo
1506,intento no hacer amigos en el trabajo,trabajo
1507,la gente del trabajo que quiere ser mi amigo generalmente se quiere aprovechar de mi,trabajo
1508,Me sentí explotada profesionalmente pese a dar resultados constantes.,trabajo
1509,Pedí un aumento,trabajo
1510,renuncie porque sentia que no me valoraban,trabajo
1511,"Amaba lo que hacía, pero odiaba la cultura organizacional.",trabajo
1512,amo lo que hago,trabajo
1513,me amenazaron los de recursos humanos,trabajo
1514,me despidieron por una injusticia,trabajo
1515,me despidieron por un chisme que no fue como ocurrio,trabajo
1516,pienso que todo sacrificio laboral vale la pena,trabajo
1517,me denigraron en el trabajo por ser mujer,trabajo
1518,dicen que mi acenso lo consegui por otros medios,trabajo
